Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
238442,OIE,-25.6,27.9,Africa,South Africa,North West,HPAI_H5N8_2017_191,Exact,25/05/2018,18/07/2018,Confirmed,Influenza - Avian,H5N8 HPAI,"wild,african sacred ibis (threskiornis aethiopicus))",,1,0,0,0,,0,,
238425,OIE,55.447509,45.693121,Europe,Russian Federation,Nizhegorodskaya Oblast,Ovechiy Ovrag,Exact,15/07/2018,18/07/2018,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",47,1,1,,,,0,,
238424,OIE,54.734933,48.342412,Europe,Russian Federation,Tatarstan Rep.,Vozhzhi,Exact,15/07/2018,18/07/2018,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",59,18,18,41,,,0,,
238423,OIE,55.412356,48.065658,Europe,Russian Federation,Tatarstan Rep.,Ulyankovo ,Exact,11/07/2018,18/07/2018,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",35,20,20,15,,,0,,
238422,OIE,47.741688,40.028751,Europe,Russian Federation,Rostovskaya Oblast,OOO Evrodon №5,Exact,10/07/2018,18/07/2018,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",221799,13731,8235,,,,0,,
238421,OIE,55.072514,47.617992,Europe,Russian Federation,Chuvashiya Rep.,Batyrevo ,Exact,09/07/2018,18/07/2018,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",60,16,16,44,,,0,,
238420,OIE,55.180669,47.488452,Europe,Russian Federation,Chuvashiya Rep.,Polevye Yaushi ,Exact,09/07/2018,18/07/2018,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",64,50,50,14,,,0,,
238419,OIE,55.164122,47.999979,Europe,Russian Federation,Chuvashiya Rep.,Yalchiki,Exact,06/07/2018,18/07/2018,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",30,25,25,5,,,0,,
238418,OIE,55.859407,47.461015,Europe,Russian Federation,Chuvashiya Rep.,Tsivilsk ,Exact,06/07/2018,18/07/2018,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",53,14,14,,,,0,,
238417,OIE,55.839145,47.408937,Europe,Russian Federation,Chuvashiya Rep.,Molodezhny ,Exact,06/07/2018,18/07/2018,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",30,9,9,21,,,0,,
238416,OIE,55.701058,46.148719,Europe,Russian Federation,Chuvashiya Rep.,Cherepanovo ,Exact,06/07/2018,18/07/2018,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",32,12,12,8,,,0,,
238415,OIE,55.302539,47.023101,Europe,Russian Federation,Chuvashiya Rep.,Ibresi ,Exact,06/07/2018,18/07/2018,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",31,19,19,12,,,0,,
238414,OIE,54.81192,47.399144,Europe,Russian Federation,Tatarstan Rep.,SHlanga,Exact,05/07/2018,18/07/2018,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",71,30,30,41,,,0,,
238413,OIE,47.758359,39.99459,Europe,Russian Federation,Rostovskaya Oblast,Novopavlovka ,Exact,03/07/2018,18/07/2018,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",78194,424,424,64743,,,0,,
238406,National authorities,54.9,11.3458,Europe,Denmark,Storstroem,Vejrø ,Unknown,08/07/2018,18/07/2018,Confirmed,Influenza - Avian,H5N6 HPAI,"wild,common eider (somateria mollissima))",,1,1,,,,0,,
238377,OIE,6.72052,-1.39801,Africa,Ghana,Ashanti,Atia,Exact,27/06/2018,17/07/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",6451,6451,2033,4418,0,,0,,
238210,OIE,23.7243,120.2682,Asia,Taiwan (Province of China),Taiwan Sheng,Dongshi Township,Exact,02/07/2018,12/07/2018,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, turkey",771,161,161,610,,,0,,
238207,OIE,55.405045,45.626327,Europe,Russian Federation,Nizhegorodskaya Oblast," Urazovka ",Exact,09/07/2018,11/07/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",27,8,8,,,,0,,
238206,OIE,52.827714,37.248547,Europe,Russian Federation,Orlovskaya Oblast," Degtyaren ",Exact,06/07/2018,11/07/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",15,3,3,12,,,0,,
238205,OIE,53.314701,36.646785,Europe,Russian Federation,Orlovskaya Oblast,Lekhanovka ,Exact,06/07/2018,11/07/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",64,4,4,60,,,0,,
238204,OIE,51.749987,35.97812,Europe,Russian Federation,Kurskaya Oblast,Polyanskoe  ,Exact,04/07/2018,11/07/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",43,2,2,,,,0,,
